試合ID,日付,ラウンド,プール,イニング,攻撃チーム,守備チーム,投手ID,投手,打者ID,打者,イベント種別,選手ID,選手,移動前の塁,移動後の塁
788119,2026-03-10,Pool B,B,3,United States,Italy,547179,Michael Lorenzen,683002,Gunnar Henderson,暴投,677951,Bobby Witt Jr.,2B,3B
788119,2026-03-10,Pool B,B,6,Italy,United States,641745,Brad Keller,805300,Jakob Marsee,暴投,803011,Sam Antonacci,3B,score
788130,2026-03-11,Pool A,A,3,Canada,Cuba,661267,Livan Moinelo,683357,Owen Caissie,捕逸,641933,Tyler O'Neill,2B,3B
788130,2026-03-11,Pool A,A,3,Canada,Cuba,661267,Livan Moinelo,683357,Owen Caissie,捕逸,647351,Abraham Toro,1B,2B
788130,2026-03-11,Pool A,A,6,Canada,Cuba,684320,Yariel Rodríguez,666310,Bo Naylor,暴投,571602,Matt Davidson,1B,3B
788130,2026-03-11,Pool A,A,6,Canada,Cuba,684320,Yariel Rodríguez,666397,Edouard Julien,盗塁（二塁）,672016,Denzel Clarke,1B,2B
788121,2026-03-11,Pool B,B,5,Italy,Mexico,665871,Javier Assad,702652,Andrew Fischer,盗塁（二塁）,695506,Jac Caglianone,1B,2B
788121,2026-03-11,Pool B,B,5,Mexico,Italy,605400,Aaron Nola,677950,Alek Thomas,盗塁死（二塁）,693304,Nick Gonzales,1B,
788101,2026-03-11,Pool D,D,3,Venezuela,Dominican Republic,645261,Sandy Alcantara,672580,Maikel Garcia,盗塁（二塁）,660670,Ronald Acuña Jr.,1B,2B
788101,2026-03-11,Pool D,D,4,Venezuela,Dominican Republic,623211,Huascar Brazobán,660670,Ronald Acuña Jr.,暴投,677800,Wilyer Abreu,1B,2B
788101,2026-03-11,Pool D,D,7,Venezuela,Dominican Republic,642701,Dennis Santana,575929,Willson Contreras,盗塁（二塁）,672580,Maikel Garcia,1B,2B
788100,2026-03-13,Quarterfinal,,7,Canada,United States,670280,David Bednar,647304,Josh Naylor,捕逸,666397,Edouard Julien,2B,3B
788100,2026-03-13,Quarterfinal,,7,Canada,United States,670280,David Bednar,647304,Josh Naylor,捕逸,672640,Otto Lopez,1B,2B
788098,2026-03-14,Quarterfinal,,3,Italy,Puerto Rico,700842,Eduardo Rivera,803011,Sam Antonacci,盗塁（二塁）,807276,Dante Nori,1B,2B
788098,2026-03-14,Quarterfinal,,4,Italy,Puerto Rico,700842,Eduardo Rivera,686527,Dominic Canzone,盗塁（二塁）,686469,Vinnie Pasquantino,1B,2B
788098,2026-03-14,Quarterfinal,,8,Puerto Rico,Italy,686747,Joe La Sorsa,543877,Christian Vázquez,暴投,656896,Emmanuel Rivera,3B,score
788098,2026-03-14,Quarterfinal,,8,Puerto Rico,Italy,686747,Joe La Sorsa,543877,Christian Vázquez,暴投,592696,Eddie Rosario,2B,3B
788098,2026-03-14,Quarterfinal,,8,Puerto Rico,Italy,686747,Joe La Sorsa,543877,Christian Vázquez,暴投,663494,Bryan Torres,1B,2B
788098,2026-03-14,Quarterfinal,,8,Italy,Puerto Rico,621242,Edwin Díaz,695336,Thomas Saggese,盗塁（二塁）,803011,Sam Antonacci,1B,2B
788098,2026-03-14,Quarterfinal,,8,Italy,Puerto Rico,621242,Edwin Díaz,686527,Dominic Canzone,盗塁（二塁）,686469,Vinnie Pasquantino,1B,2B
788098,2026-03-14,Quarterfinal,,9,Puerto Rico,Italy,669711,Greg Weissert,592696,Eddie Rosario,守備妨害,666126,Carlos Cortes,1B,2B
788097,2026-03-14,Quarterfinal,,8,Venezuela,Japan,684001,Atsuki Taneichi,650402,Gleyber Torres,盗塁（三塁）,678662,Ezequiel Tovar,2B,3B
788096,2026-03-15,Semifinal,,7,Dominican Republic,United States,670280,David Bednar,665487,Fernando Tatis Jr.,盗塁（二塁）,672695,Geraldo Perdomo,1B,2B
788096,2026-03-15,Semifinal,,9,Dominican Republic,United States,695243,Mason Miller,665833,Oneil Cruz,暴投,677594,Julio Rodríguez,1B,2B
788093,2026-03-16,Semifinal,,2,Italy,Venezuela,645307,Ricardo Sánchez,803011,Sam Antonacci,盗塁（二塁）,807276,Dante Nori,1B,2B
788094,2026-03-17,Final,,3,Venezuela,United States,690997,Nolan McLean,672580,Maikel Garcia,暴投,521692,Salvador Perez,2B,3B
788094,2026-03-17,Final,,3,Venezuela,United States,690997,Nolan McLean,672580,Maikel Garcia,暴投,660670,Ronald Acuña Jr.,1B,2B
788094,2026-03-17,Final,,9,Venezuela,United States,676477,Garrett Whitlock,553993,Eugenio Suárez,盗塁（二塁）,691594,Javier Sanoja,1B,2B
