試合ID,日付,ラウンド,プール,イニング,攻撃チーム,守備チーム,投手ID,投手,打者ID,打者,投球数,打席結果,打点,一塁走者あり,二塁走者あり,三塁走者あり,打席,打数,安打,一塁打,二塁打,三塁打,本塁打,三振,四球,死球,犠打犠飛,塁打数
788115,2026-03-05,Pool C,C,1,Korea,Czechia,804607,Daniel Padysak,663330,Jahmai Jones,1,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788115,2026-03-05,Pool C,C,1,Korea,Czechia,804607,Daniel Padysak,808982,Jung Hoo Lee,3,安打,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1
788115,2026-03-05,Pool C,C,1,Korea,Czechia,804607,Daniel Padysak,838336,Hyun Min Ahn,5,四球,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
788115,2026-03-05,Pool C,C,1,Korea,Czechia,804607,Daniel Padysak,823575,Bo Gyeong Moon,4,本塁打,4,1,1,1,1,1,1,0,0,0,1,0,0,0,0,4
788115,2026-03-05,Pool C,C,1,Korea,Czechia,808951,Jeff Barto,694376,Shay Whitcomb,5,三振,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
788115,2026-03-05,Pool C,C,1,Korea,Czechia,808951,Jeff Barto,808975,Hyeseong Kim,4,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788115,2026-03-05,Pool C,C,2,Czechia,Korea,808984,Hyeong Jun So,548431,Martin Cervenka,2,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788115,2026-03-05,Pool C,C,2,Czechia,Korea,808984,Hyeong Jun So,803013,Marek Chlup,2,安打,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
788115,2026-03-05,Pool C,C,2,Czechia,Korea,808984,Hyeong Jun So,693973,Martin Muzik,5,四球,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
788115,2026-03-05,Pool C,C,2,Czechia,Korea,808984,Hyeong Jun So,687781,Vojtech Mensik,4,三振,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
788115,2026-03-05,Pool C,C,2,Czechia,Korea,808984,Hyeong Jun So,679925,William Escala,1,安打,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1
788115,2026-03-05,Pool C,C,2,Czechia,Korea,808984,Hyeong Jun So,838351,Max Prejda,5,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788115,2026-03-05,Pool C,C,2,Korea,Czechia,808951,Jeff Barto,673526,Dong Won Park,2,二塁打,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,2
