試合ID,イニング,攻撃チーム,得点,安打数,失策,残塁,累積得点,得点差
788109,5,Japan,0,0,0,1,0,0
788109,6,Australia,1,1,0,0,1,1
788109,6,Japan,0,1,1,2,0,-1
788109,7,Australia,0,0,0,0,1,1
788109,7,Japan,2,1,0,0,2,1
788109,8,Australia,0,0,0,0,1,-1
788109,8,Japan,2,1,0,2,4,3
788109,9,Australia,2,2,0,0,3,-1
788109,9,Japan,0,0,0,0,4,1
788135,1,Colombia,1,0,0,2,1,1
788135,1,Cuba,4,2,1,0,4,3
788135,2,Colombia,0,0,0,1,1,-3
788135,2,Cuba,0,0,0,0,4,3
788135,3,Colombia,0,1,0,1,1,-3
788135,3,Cuba,0,0,0,0,4,3
788135,4,Colombia,0,0,0,0,1,-3
788135,4,Cuba,0,2,0,2,4,3
788135,5,Colombia,0,1,0,2,1,-3
788135,5,Cuba,0,0,0,0,4,3
788135,6,Colombia,1,1,1,1,2,-2
788135,6,Cuba,3,2,0,1,7,5
788135,7,Colombia,2,2,0,3,4,-3
788135,7,Cuba,0,0,0,0,7,3
788135,8,Colombia,0,2,0,1,4,-3
788135,8,Cuba,0,2,0,2,7,3
788135,9,Colombia,0,0,0,1,4,-3
788135,9,Cuba,0,0,0,0,7,3
788106,1,Kingdom of the Netherlands,0,0,1,0,0,0
788106,1,Dominican Republic,2,2,0,2,2,2
788106,2,Kingdom of the Netherlands,1,1,0,0,1,-1
788106,2,Dominican Republic,0,0,0,0,2,1
788106,3,Kingdom of the Netherlands,0,1,0,1,1,-1
788106,3,Dominican Republic,2,1,0,1,4,3
788106,4,Kingdom of the Netherlands,0,1,0,1,1,-3
788106,4,Dominican Republic,0,0,0,1,4,3
788106,5,Kingdom of the Netherlands,0,0,0,0,1,-3
788106,5,Dominican Republic,6,4,0,2,10,9
788106,6,Kingdom of the Netherlands,0,1,0,2,1,-9
788106,6,Dominican Republic,0,0,0,1,10,9
788106,7,Kingdom of the Netherlands,0,1,0,1,1,-9
788106,7,Dominican Republic,2,1,0,0,12,11
788124,1,Great Britain,2,2,0,1,2,2
788124,1,Italy,0,0,0,0,0,-2
788124,2,Great Britain,0,0,0,0,2,2
788124,2,Italy,0,0,0,0,0,-2
788124,3,Great Britain,0,0,0,0,2,2
788124,3,Italy,2,2,0,1,2,0
788124,4,Great Britain,0,1,1,2,2,0
788124,4,Italy,3,4,0,3,5,3
788124,5,Great Britain,0,0,1,0,2,-3
788124,5,Italy,2,1,0,0,7,5
788124,6,Great Britain,0,0,0,0,2,-5
788124,6,Italy,0,3,0,2,7,5
788124,7,Great Britain,0,1,0,1,2,-5
788124,7,Italy,0,0,0,0,7,5
788124,8,Great Britain,2,2,0,1,4,-3
788124,8,Italy,0,2,0,3,7,3
788124,9,Great Britain,0,1,0,3,4,-3
788124,9,Italy,0,0,0,0,7,3
788104,1,Nicaragua,0,0,0,0,0,0
788104,1,Israel,0,0,0,1,0,0
788104,2,Nicaragua,0,0,0,0,0,0
788104,2,Israel,1,2,0,2,1,1
788104,3,Nicaragua,0,1,0,1,0,-1
788104,3,Israel,0,0,0,0,1,1
788104,4,Nicaragua,0,0,0,0,0,-1
788104,4,Israel,0,0,0,0,1,1
788104,5,Nicaragua,0,1,0,2,0,-1
788104,5,Israel,4,5,0,2,5,5
788104,6,Nicaragua,0,0,0,1,0,-5
788104,6,Israel,0,1,0,1,5,5
788104,7,Nicaragua,0,0,0,0,0,-5
788104,7,Israel,0,0,0,2,5,5
788104,8,Nicaragua,0,0,0,0,0,-5
788104,8,Israel,0,0,0,1,5,5
788104,9,Nicaragua,0,0,0,0,0,-5
788104,9,Israel,0,0,0,0,5,5
788134,1,Panama,0,1,0,2,0,0
788134,1,Canada,0,0,1,1,0,0
788134,2,Panama,0,0,0,0,0,0
788134,2,Canada,1,2,0,1,1,1
788134,3,Panama,0,0,0,0,0,-1
788134,3,Canada,0,0,0,1,1,1
788134,4,Panama,1,3,0,2,1,0
788134,4,Canada,1,3,0,2,2,1
788134,5,Panama,0,0,0,1,1,-1
788134,5,Canada,0,1,0,3,2,1
788134,6,Panama,3,3,0,2,4,2
788134,6,Canada,0,0,2,0,2,-2
788134,7,Panama,0,2,0,2,4,2
788134,7,Canada,0,0,0,0,2,-2
788134,8,Panama,0,2,0,1,4,2
788134,8,Canada,1,2,0,1,3,-1
788134,9,Panama,0,0,0,0,4,1
788134,9,Canada,0,1,0,1,3,-1
788125,1,Brazil,0,0,0,1,0,0
788125,1,Mexico,4,5,0,2,4,4
788125,2,Brazil,0,0,0,1,0,-4
788125,2,Mexico,1,1,0,0,5,5
788125,3,Brazil,0,0,0,0,0,-5
788125,3,Mexico,0,1,0,0,5,5
788125,4,Brazil,0,0,0,1,0,-5
788125,4,Mexico,6,6,0,2,11,11
788125,5,Brazil,0,1,0,1,0,-11
788125,5,Mexico,1,1,0,1,12,12
788125,6,Brazil,0,2,0,2,0,-12
788125,6,Mexico,4,2,0,0,16,16
788112,1,Korea,0,0,0,0,0,0
788112,1,Australia,0,1,0,2,0,0
788112,2,Korea,2,2,0,2,2,2
788112,2,Australia,0,1,0,0,0,-2
788112,3,Korea,2,3,0,1,4,4
788112,3,Australia,0,0,0,0,0,-4
788112,4,Korea,0,0,0,0,4,4
788112,4,Australia,0,0,0,0,0,-4
788112,5,Korea,1,1,0,1,5,5
788112,5,Australia,1,1,0,0,1,-4
788112,6,Korea,1,2,0,1,6,5
788112,6,Australia,0,0,0,0,1,-5
788112,7,Korea,0,1,0,0,6,5
788112,7,Australia,0,1,0,1,1,-5
788112,8,Korea,0,1,0,1,6,5
788112,8,Australia,1,1,0,2,2,-4
788112,9,Korea,1,0,0,1,7,5
788112,9,Australia,0,0,1,1,2,-5
788103,1,Dominican Republic,0,0,0,0,0,0
788103,1,Israel,0,0,0,0,0,0
788103,2,Dominican Republic,5,1,0,0,5,5
788103,2,Israel,0,0,0,0,0,-5
788103,3,Dominican Republic,0,0,0,0,5,5
788103,3,Israel,0,0,0,0,0,-5
788103,4,Dominican Republic,1,2,0,0,6,6
788103,4,Israel,1,1,0,0,1,-5
788103,5,Dominican Republic,0,0,0,0,6,5
788103,5,Israel,0,0,0,0,1,-5
788103,6,Dominican Republic,0,0,0,0,6,5
788103,6,Israel,0,0,0,0,1,-5
788103,7,Dominican Republic,2,2,0,2,8,7
788103,7,Israel,0,1,0,2,1,-7
788103,8,Dominican Republic,1,1,0,2,9,8
788103,8,Israel,0,0,0,0,1,-8
