試合ID,日付,ラウンド,プール,イニング,攻撃チーム,守備チーム,投手ID,投手,打者ID,打者,投球番号,球種,判定,ストライク,ボール,球速（km/h）,ストライク判定,スイング,コンタクト,結果グループ
788120,2026-03-05,Pool C,C,5,Australia,Chinese Taipei,696040,Po-Yu Chen,683953,Travis Bazzana,1,チェンジアップ,ボール,0,1,133.6,0,0,0,ボール
788120,2026-03-05,Pool C,C,5,Australia,Chinese Taipei,696040,Po-Yu Chen,683953,Travis Bazzana,2,直球,ファール,1,1,148.4,1,1,1,ファール
788120,2026-03-05,Pool C,C,5,Australia,Chinese Taipei,696040,Po-Yu Chen,683953,Travis Bazzana,3,直球,ボール,1,2,149.2,0,0,0,ボール
788120,2026-03-05,Pool C,C,5,Australia,Chinese Taipei,696040,Po-Yu Chen,683953,Travis Bazzana,4,カーブ,ストライク（空振り）,2,2,125.2,1,1,0,ストライク
788120,2026-03-05,Pool C,C,5,Australia,Chinese Taipei,696040,Po-Yu Chen,683953,Travis Bazzana,5,カーブ,インプレー,2,2,126.2,1,1,1,インプレー
788120,2026-03-05,Pool C,C,5,Australia,Chinese Taipei,696040,Po-Yu Chen,678554,Curtis Mead,1,ツーシーム,ストライク（見逃し）,1,0,146.6,1,0,0,ストライク
788120,2026-03-05,Pool C,C,5,Australia,Chinese Taipei,696040,Po-Yu Chen,678554,Curtis Mead,2,ツーシーム,ボール,1,1,144.8,0,0,0,ボール
788120,2026-03-05,Pool C,C,5,Australia,Chinese Taipei,696040,Po-Yu Chen,678554,Curtis Mead,3,カーブ,ファール,2,1,125.9,1,1,1,ファール
788120,2026-03-05,Pool C,C,5,Australia,Chinese Taipei,696040,Po-Yu Chen,678554,Curtis Mead,4,チェンジアップ,ボール,2,2,137.8,0,0,0,ボール
788120,2026-03-05,Pool C,C,5,Australia,Chinese Taipei,696040,Po-Yu Chen,678554,Curtis Mead,5,チェンジアップ,ストライク（空振り）,3,2,137.9,1,1,0,ストライク
788120,2026-03-05,Pool C,C,6,Chinese Taipei,Australia,672552,Jack O'Loughlin,808992,Chen-Wei Chen,1,スライダー,ストライク（見逃し）,1,0,138.4,1,0,0,ストライク
788120,2026-03-05,Pool C,C,6,Chinese Taipei,Australia,672552,Jack O'Loughlin,808992,Chen-Wei Chen,2,スイーパー,ストライク（空振り）,2,0,131.3,1,1,0,ストライク
788120,2026-03-05,Pool C,C,6,Chinese Taipei,Australia,672552,Jack O'Loughlin,808992,Chen-Wei Chen,3,スイーパー,ボール,2,1,134.1,0,0,0,ボール
788120,2026-03-05,Pool C,C,6,Chinese Taipei,Australia,672552,Jack O'Loughlin,808992,Chen-Wei Chen,4,直球,ファール,2,1,151.8,1,1,1,ファール
