試合ID,日付,ラウンド,プール,守備チーム,投手ID,投手,投球回,投球回（小数）,自責点,失点,被安打,奪三振,与四球,被本塁打,対戦打者数,投球数
788138,2026-03-07,Pool A,A,Colombia,650813,Luis Escobar,0.1,0.3333333333333333,0,0,0,0,0,0,1,2
788138,2026-03-07,Pool A,A,Canada,647336,Michael Soroka,3.0,3.0,1,1,4,2,1,0,12,54
788138,2026-03-07,Pool A,A,Canada,666301,Indigo Diaz,1.0,1.0,0,0,0,2,1,0,4,19
788138,2026-03-07,Pool A,A,Canada,659418,Noah Skirrow,3.0,3.0,0,0,1,2,0,0,10,38
788138,2026-03-07,Pool A,A,Canada,809840,Micah Ashman,0.2,0.6666666666666666,1,1,1,1,1,0,5,22
788138,2026-03-07,Pool A,A,Canada,672021,Eric Cerantola,1.0,1.0,0,0,0,1,0,0,3,9
788138,2026-03-07,Pool A,A,Canada,518418,Phillippe Aumont,0.1,0.3333333333333333,0,0,0,1,0,0,1,5
788108,2026-03-07,Pool D,D,Nicaragua,541640,Erasmo Ramírez,5.0,5.0,1,1,5,2,1,0,22,63
788108,2026-03-07,Pool D,D,Nicaragua,699325,Oscar Rayo,0.1,0.3333333333333333,0,0,1,0,1,0,3,11
788108,2026-03-07,Pool D,D,Nicaragua,679752,Angel Obando,3.1,3.3333333333333335,3,3,4,3,1,1,15,45
788108,2026-03-07,Pool D,D,Kingdom of the Netherlands,823858,Jaitoine Kelly,2.0,2.0,0,0,1,3,1,0,9,31
788108,2026-03-07,Pool D,D,Kingdom of the Netherlands,808721,Kevin Kelly,2.1,2.3333333333333335,1,1,3,2,1,0,12,33
788108,2026-03-07,Pool D,D,Kingdom of the Netherlands,663723,Derek West,2.2,2.6666666666666665,0,0,3,2,3,0,13,49
788108,2026-03-07,Pool D,D,Kingdom of the Netherlands,609044,Lars Huijer,2.0,2.0,2,2,2,2,0,1,10,27
788126,2026-03-07,Pool B,B,Brazil,807344,Enzo Sawayama,4.0,4.0,0,0,2,3,1,0,14,45
788126,2026-03-07,Pool B,B,Brazil,622609,Hector Villarroel,2.0,2.0,2,2,4,1,2,0,11,41
788126,2026-03-07,Pool B,B,Brazil,517209,Murilo Gouvea,0.2,0.6666666666666666,3,3,1,2,2,1,5,24
788126,2026-03-07,Pool B,B,Brazil,627393,Oscar Nakaoshi,0.1,0.3333333333333333,1,1,2,0,1,1,4,13
788126,2026-03-07,Pool B,B,Brazil,822885,Caio De Araujo,1.0,1.0,2,2,3,1,1,1,7,26
788126,2026-03-07,Pool B,B,Italy,691951,Sam Aldegheri,4.2,4.666666666666667,0,0,1,8,2,0,15,63
788126,2026-03-07,Pool B,B,Italy,689690,Alek Jacob,1.1,1.3333333333333333,0,0,0,3,0,0,4,18
788126,2026-03-07,Pool B,B,Italy,700669,Gordon Graceffo,1.0,1.0,0,0,1,3,1,0,5,25
788126,2026-03-07,Pool B,B,Italy,668144,Claudio Scotti,2.0,2.0,0,0,2,1,0,0,8,36
788137,2026-03-07,Pool A,A,Panama,642558,Ariel Jurado,5.0,5.0,0,0,3,4,0,0,17,56
788137,2026-03-07,Pool A,A,Panama,642770,Javy Guerra,0.1,0.3333333333333333,1,1,2,0,0,0,4,17
